40.77.167.77 - - [09/Mar/2024:02:39:04 -0800] "GET /self.logs/access.log.2017-01-01.gz HTTP/1.1" 200 17634 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" 
185.51.134.229 - - [09/Mar/2024:07:24:56 -0800] "HEAD /restore/credentials.txt HTTP/1.1" 301 190 "-" "-" 
185.51.134.230 - - [09/Mar/2024:07:24:57 -0800] "HEAD /restore/credentials.txt HTTP/1.1" 404 265 "-" "-" 
191.101.126.43 - - [09/Mar/2024:07:26:37 -0800] "HEAD /backup/bak.tar HTTP/1.1" 301 181 "-" "-" 
191.101.126.57 - - [09/Mar/2024:07:26:39 -0800] "HEAD /backup/bak.tar HTTP/1.1" 404 265 "-" "-" 
107.20.105.74 - - [09/Mar/2024:07:26:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [09/Mar/2024:07:26:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
64.64.123.40 - - [09/Mar/2024:07:27:50 -0800] "HEAD /backup/backup.rar HTTP/1.1" 301 184 "-" "-" 
64.64.123.41 - - [09/Mar/2024:07:27:51 -0800] "HEAD /backup/backup.rar HTTP/1.1" 404 265 "-" "-" 
185.51.134.230 - - [09/Mar/2024:07:30:09 -0800] "HEAD /bak/sql.sql HTTP/1.1" 301 178 "-" "-" 
45.95.243.13 - - [09/Mar/2024:07:30:09 -0800] "HEAD /public_html.gz HTTP/1.1" 301 181 "-" "-" 
45.95.243.13 - - [09/Mar/2024:07:30:10 -0800] "HEAD /public_html.gz HTTP/1.1" 404 265 "-" "-" 
185.51.134.230 - - [09/Mar/2024:07:30:10 -0800] "HEAD /bak/sql.sql HTTP/1.1" 404 265 "-" "-" 
185.51.134.229 - - [09/Mar/2024:07:30:58 -0800] "HEAD /backup/directory.tar HTTP/1.1" 301 187 "-" "-" 
185.51.134.230 - - [09/Mar/2024:07:30:58 -0800] "HEAD /backup/directory.tar HTTP/1.1" 404 265 "-" "-" 
45.86.200.205 - - [09/Mar/2024:07:32:30 -0800] "HEAD /backup/website.zip HTTP/1.1" 301 185 "-" "-" 
45.86.200.194 - - [09/Mar/2024:07:32:31 -0800] "HEAD /backup/website.zip HTTP/1.1" 404 265 "-" "-" 
45.86.200.187 - - [09/Mar/2024:07:33:57 -0800] "HEAD /bak.tar.gz HTTP/1.1" 301 177 "-" "-" 
45.86.200.189 - - [09/Mar/2024:07:33:58 -0800] "HEAD /bak.tar.gz HTTP/1.1" 404 265 "-" "-" 
66.249.68.33 - - [09/Mar/2024:07:35:57 -0800] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.79.234 - - [09/Mar/2024:07:35:57 -0800] "GET / HTTP/1.1" 200 13185 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
107.20.105.74 - - [09/Mar/2024:07:36:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [09/Mar/2024:07:36:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
185.51.134.229 - - [09/Mar/2024:07:37:28 -0800] "HEAD /backup/backup.sql HTTP/1.1" 301 184 "-" "-" 
185.51.134.229 - - [09/Mar/2024:07:37:29 -0800] "HEAD /backup/backup.sql HTTP/1.1" 404 265 "-" "-" 
216.244.66.245 - - [09/Mar/2024:07:38:12 -0800] "GET /robots.txt HTTP/1.1" 200 333 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
185.51.134.229 - - [09/Mar/2024:07:38:51 -0800] "HEAD /bak/backup.sql.tar HTTP/1.1" 301 185 "-" "-" 
185.51.134.229 - - [09/Mar/2024:07:38:52 -0800] "HEAD /bak/backup.sql.tar HTTP/1.1" 404 265 "-" "-" 
64.64.123.40 - - [09/Mar/2024:07:39:23 -0800] "HEAD /back/.well-known.zip HTTP/1.1" 301 187 "-" "-" 
64.64.123.40 - - [09/Mar/2024:07:39:23 -0800] "HEAD /back/.well-known.zip HTTP/1.1" 404 265 "-" "-" 
51.175.72.176 - - [09/Mar/2024:07:40:01 -0800] "GET /self.logs/ HTTP/1.1" 200 48616 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0" 
51.175.72.176 - - [09/Mar/2024:07:40:32 -0800] "GET /favicon.ico HTTP/1.1" 200 368 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0" 
51.175.72.176 - - [09/Mar/2024:07:40:50 -0800] "GET /self.logs/access.log.2024-01-04.gz HTTP/1.1" 200 22014 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0" 
196.196.52.5 - - [09/Mar/2024:07:40:53 -0800] "HEAD /bak/bak.tar.gz HTTP/1.1" 301 181 "-" "-" 
196.196.52.6 - - [09/Mar/2024:07:40:54 -0800] "HEAD /bak/bak.tar.gz HTTP/1.1" 404 265 "-" "-" 
196.196.52.5 - - [09/Mar/2024:07:41:24 -0800] "HEAD /backup/wallet.dat HTTP/1.1" 301 184 "-" "-" 
196.196.52.6 - - [09/Mar/2024:07:41:25 -0800] "HEAD /backup/wallet.dat HTTP/1.1" 404 265 "-" "-" 
51.175.72.176 - - [09/Mar/2024:07:42:05 -0800] "GET /self.logs/access.log.2017-01-06.gz HTTP/1.1" 200 20623 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0" 
85.203.47.181 - - [09/Mar/2024:07:42:48 -0800] "HEAD /backup/backup.sql.zip HTTP/1.1" 301 188 "-" "-" 
85.203.47.208 - - [09/Mar/2024:07:42:48 -0800] "HEAD /backup/backup.sql.zip HTTP/1.1" 404 265 "-" "-" 
93.115.7.123 - - [09/Mar/2024:07:43:17 -0800] "HEAD /old/www.sql HTTP/1.1" 301 178 "-" "-" 
93.115.7.126 - - [09/Mar/2024:07:43:17 -0800] "HEAD /old/www.sql HTTP/1.1" 404 265 "-" "-" 
51.175.72.176 - - [09/Mar/2024:07:43:40 -0800] "GET /self.logs/access.log.2018-11-23.gz HTTP/1.1" 200 145272 "-" "Wget/1.21.2" 
66.249.79.236 - - [09/Mar/2024:07:45:23 -0800] "GET / HTTP/1.1" 200 13185 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.79.236 - - [09/Mar/2024:07:45:24 -0800] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/122.0.6261.94 Safari/537.36" 
84.32.71.12 - - [09/Mar/2024:07:45:31 -0800] "HEAD /backup/config.json HTTP/1.1" 301 185 "-" "-" 
84.32.71.22 - - [09/Mar/2024:07:45:32 -0800] "HEAD /backup/config.json HTTP/1.1" 404 265 "-" "-" 
93.115.7.123 - - [09/Mar/2024:07:45:49 -0800] "HEAD /old/bak.rar HTTP/1.1" 301 178 "-" "-" 
93.115.7.126 - - [09/Mar/2024:07:45:49 -0800] "HEAD /old/bak.rar HTTP/1.1" 404 265 "-" "-" 
194.195.91.66 - - [09/Mar/2024:07:46:33 -0800] "HEAD /old/directory.gz HTTP/1.1" 301 183 "-" "-" 
194.195.91.53 - - [09/Mar/2024:07:46:34 -0800] "HEAD /old/directory.gz HTTP/1.1" 404 265 "-" "-" 
107.20.105.74 - - [09/Mar/2024:07:46:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [09/Mar/2024:07:46:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
216.244.66.245 - - [09/Mar/2024:07:47:04 -0800] "GET /self.logs/error.log.2023-09-24.gz HTTP/1.1" 200 555 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [09/Mar/2024:07:47:12 -0800] "GET /self.logs/error.log.2023-11-13.gz HTTP/1.1" 200 1340 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
196.196.52.6 - - [09/Mar/2024:07:51:52 -0800] "HEAD /restore/bak.tar.gz HTTP/1.1" 301 185 "-" "-" 
196.196.52.6 - - [09/Mar/2024:07:51:53 -0800] "HEAD /restore/bak.tar.gz HTTP/1.1" 404 265 "-" "-" 
117.145.181.129 - - [09/Mar/2024:07:56:32 -0800] "GET /favicon.ico HTTP/1.1" 304 261 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.6045.160 Safari/537.36" 
45.86.200.13 - - [09/Mar/2024:07:56:35 -0800] "HEAD /back/application.zip HTTP/1.1" 301 187 "-" "-" 
45.86.200.35 - - [09/Mar/2024:07:56:36 -0800] "HEAD /back/application.zip HTTP/1.1" 404 265 "-" "-" 
107.20.105.74 - - [09/Mar/2024:07:56:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [09/Mar/2024:07:56:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [09/Mar/2024:08:06:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [09/Mar/2024:08:06:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
93.115.7.126 - - [09/Mar/2024:08:07:22 -0800] "HEAD /bak/wallet.zip HTTP/1.1" 301 181 "-" "-" 
93.115.7.126 - - [09/Mar/2024:08:07:22 -0800] "HEAD /bak/wallet.zip HTTP/1.1" 404 265 "-" "-" 
17.241.75.197 - - [09/Mar/2024:08:08:52 -0800] "GET /honeypot/BSidesDFW%20-%202014.ipynb HTTP/1.1" 200 930877 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 
185.192.68.121 - - [09/Mar/2024:08:10:22 -0800] "HEAD /back/wallet.zip HTTP/1.1" 301 182 "-" "-" 
64.64.123.73 - - [09/Mar/2024:08:10:23 -0800] "HEAD /back/wallet.zip HTTP/1.1" 404 265 "-" "-" 
85.203.47.206 - - [09/Mar/2024:08:10:53 -0800] "HEAD /backups/secrepo.com.zip HTTP/1.1" 301 190 "-" "-" 
85.203.47.190 - - [09/Mar/2024:08:10:54 -0800] "HEAD /backups/secrepo.com.zip HTTP/1.1" 404 265 "-" "-" 
85.203.47.182 - - [09/Mar/2024:08:11:51 -0800] "HEAD /.bash_history HTTP/1.1" 301 180 "-" "-" 
85.203.47.181 - - [09/Mar/2024:08:11:51 -0800] "HEAD /.bash_history HTTP/1.1" 404 265 "-" "-" 
84.32.71.23 - - [09/Mar/2024:08:12:54 -0800] "HEAD /old/Archive.zip HTTP/1.1" 301 182 "-" "-" 
84.32.71.32 - - [09/Mar/2024:08:12:54 -0800] "HEAD /old/Archive.zip HTTP/1.1" 404 265 "-" "-" 
85.203.47.199 - - [09/Mar/2024:08:12:56 -0800] "HEAD /backup/credentials.txt HTTP/1.1" 301 189 "-" "-" 
85.203.47.183 - - [09/Mar/2024:08:12:57 -0800] "HEAD /backup/credentials.txt HTTP/1.1" 404 265 "-" "-" 
52.167.144.55 - - [09/Mar/2024:08:14:56 -0800] "GET /robots.txt HTTP/1.1" 301 495 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" 
52.167.144.55 - - [09/Mar/2024:08:14:56 -0800] "GET /robots.txt HTTP/1.1" 200 377 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" 
207.46.13.153 - - [09/Mar/2024:08:15:01 -0800] "GET /self.logs/error.log.2017-12-28.gz HTTP/1.1" 301 485 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" 
104.28.104.126 - - [09/Mar/2024:08:15:27 -0800] "GET / HTTP/1.1" 200 13185 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/306.0.611622802 Mobile/15E148 Safari/604.1" 
104.28.104.126 - - [09/Mar/2024:08:15:27 -0800] "GET /twitter-icon.png HTTP/1.1" 200 27893 "http://www.secrepo.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/306.0.611622802 Mobile/15E148 Safari/604.1" 
104.28.104.126 - - [09/Mar/2024:08:15:27 -0800] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/306.0.611622802 Mobile/15E148 Safari/604.1" 
104.28.104.126 - - [09/Mar/2024:08:15:27 -0800] "GET /GitHub-Mark.png HTTP/1.1" 200 7533 "http://www.secrepo.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/306.0.611622802 Mobile/15E148 Safari/604.1" 
107.20.105.74 - - [09/Mar/2024:08:16:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [09/Mar/2024:08:16:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
194.195.91.56 - - [09/Mar/2024:08:17:11 -0800] "HEAD /backups/website.zip HTTP/1.1" 301 186 "-" "-" 
194.195.91.19 - - [09/Mar/2024:08:17:13 -0800] "HEAD /backups/website.zip HTTP/1.1" 404 265 "-" "-" 
185.192.71.100 - - [09/Mar/2024:08:22:08 -0800] "HEAD /back/bak.tar.gz HTTP/1.1" 301 182 "-" "-" 
91.230.225.69 - - [09/Mar/2024:08:22:09 -0800] "HEAD /back/bak.tar.gz HTTP/1.1" 404 265 "-" "-" 
91.230.225.241 - - [09/Mar/2024:08:25:39 -0800] "HEAD /bak/website.tar.gz HTTP/1.1" 301 185 "-" "-" 
185.192.71.91 - - [09/Mar/2024:08:25:40 -0800] "HEAD /bak/website.tar.gz HTTP/1.1" 404 265 "-" "-" 
107.20.105.74 - - [09/Mar/2024:08:26:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [09/Mar/2024:08:26:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
94.46.167.76 - - [09/Mar/2024:08:27:41 -0800] "HEAD /back/secrepo.com.sql HTTP/1.1" 301 187 "-" "-" 
94.46.167.73 - - [09/Mar/2024:08:27:41 -0800] "HEAD /back/secrepo.com.sql HTTP/1.1" 404 265 "-" "-" 
45.86.202.140 - - [09/Mar/2024:08:28:12 -0800] "HEAD /old/backup.tar HTTP/1.1" 301 181 "-" "-" 
45.86.202.122 - - [09/Mar/2024:08:28:13 -0800] "HEAD /old/backup.tar HTTP/1.1" 404 265 "-" "-" 
93.115.7.123 - - [09/Mar/2024:08:28:24 -0800] "HEAD /old/.bash_history HTTP/1.1" 301 184 "-" "-" 
93.115.7.123 - - [09/Mar/2024:08:28:25 -0800] "HEAD /old/.bash_history HTTP/1.1" 404 265 "-" "-" 
45.86.202.145 - - [09/Mar/2024:08:30:35 -0800] "HEAD /backup.sql.tar HTTP/1.1" 301 181 "-" "-" 
45.86.202.108 - - [09/Mar/2024:08:30:35 -0800] "HEAD /backup.sql.tar HTTP/1.1" 404 265 "-" "-" 
66.249.68.32 - - [09/Mar/2024:08:34:41 -0800] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.79.235 - - [09/Mar/2024:08:34:42 -0800] "GET / HTTP/1.1" 200 13185 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.79.236 - - [09/Mar/2024:08:34:44 -0800] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/122.0.6261.94 Safari/537.36" 
216.244.66.245 - - [09/Mar/2024:08:36:05 -0800] "GET /robots.txt HTTP/1.1" 301 439 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [09/Mar/2024:08:36:05 -0800] "GET /robots.txt HTTP/1.1" 200 333 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
107.20.105.74 - - [09/Mar/2024:08:36:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [09/Mar/2024:08:36:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
89.38.224.157 - - [09/Mar/2024:08:37:46 -0800] "HEAD /old/credentials.txt HTTP/1.1" 301 186 "-" "-" 
89.38.224.157 - - [09/Mar/2024:08:37:47 -0800] "HEAD /old/credentials.txt HTTP/1.1" 404 265 "-" "-" 
114.119.128.10 - - [09/Mar/2024:08:38:53 -0800] "GET /self.logs/error.log.2021-01-22 HTTP/1.1" 200 1685 "http://www.secrepo.com/self.logs?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
94.46.167.73 - - [09/Mar/2024:08:42:05 -0800] "HEAD /backup/directory.rar HTTP/1.1" 301 187 "-" "-" 
94.46.167.76 - - [09/Mar/2024:08:42:06 -0800] "HEAD /backup/directory.rar HTTP/1.1" 404 265 "-" "-" 
2.57.170.231 - - [09/Mar/2024:08:43:15 -0800] "HEAD /back/website.zip HTTP/1.1" 301 183 "-" "-" 
2.57.170.228 - - [09/Mar/2024:08:43:16 -0800] "HEAD /back/website.zip HTTP/1.1" 404 265 "-" "-" 
66.249.79.235 - - [09/Mar/2024:08:44:46 -0800] "GET / HTTP/1.1" 200 13185 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.79.234 - - [09/Mar/2024:08:44:48 -0800] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/122.0.6261.94 Safari/537.36" 
107.20.105.74 - - [09/Mar/2024:08:46:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [09/Mar/2024:08:46:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
216.244.66.245 - - [09/Mar/2024:08:48:26 -0800] "GET /Datasets%20Description/Network/dns.html HTTP/1.1" 301 493 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
94.46.167.76 - - [09/Mar/2024:08:50:48 -0800] "HEAD /restore/public_html.gz HTTP/1.1" 301 189 "-" "-" 
94.46.167.76 - - [09/Mar/2024:08:50:48 -0800] "HEAD /restore/public_html.gz HTTP/1.1" 404 265 "-" "-" 
81.181.57.83 - - [09/Mar/2024:08:51:09 -0800] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5 (.NET CLR 3.5.30729)" 
81.181.57.83 - - [09/Mar/2024:08:51:15 -0800] "GET / HTTP/1.1" 200 13185 "-" "Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5 (.NET CLR 3.5.30729)" 
193.37.255.216 - - [09/Mar/2024:08:51:25 -0800] "HEAD /old/public_html.tar.gz HTTP/1.1" 301 189 "-" "-" 
193.37.255.215 - - [09/Mar/2024:08:51:25 -0800] "HEAD /old/public_html.tar.gz HTTP/1.1" 404 265 "-" "-" 
107.20.105.74 - - [09/Mar/2024:08:56:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [09/Mar/2024:08:56:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
45.86.202.140 - - [09/Mar/2024:08:57:46 -0800] "HEAD /old/public_html.zip HTTP/1.1" 301 186 "-" "-" 
45.86.202.223 - - [09/Mar/2024:08:57:46 -0800] "HEAD /old/public_html.zip HTTP/1.1" 404 265 "-" "-" 
116.203.62.31 - - [09/Mar/2024:08:58:05 -0800] "GET / HTTP/1.1" 200 49089 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" 
2.57.170.243 - - [09/Mar/2024:08:59:33 -0800] "HEAD /bak/website.zip HTTP/1.1" 301 182 "-" "-" 
2.57.170.243 - - [09/Mar/2024:08:59:34 -0800] "HEAD /bak/website.zip HTTP/1.1" 404 265 "-" "-" 
2.57.170.249 - - [09/Mar/2024:09:00:31 -0800] "HEAD /old/backup.sql HTTP/1.1" 301 181 "-" "-" 
2.57.170.251 - - [09/Mar/2024:09:00:31 -0800] "HEAD /old/backup.sql HTTP/1.1" 404 265 "-" "-" 
196.244.192.46 - - [09/Mar/2024:09:01:56 -0800] "HEAD /back/well-known.zip HTTP/1.1" 301 186 "-" "-" 
91.230.225.61 - - [09/Mar/2024:09:04:13 -0800] "HEAD /back/bak.zip HTTP/1.1" 301 179 "-" "-" 
91.230.225.250 - - [09/Mar/2024:09:04:13 -0800] "HEAD /back/bak.zip HTTP/1.1" 404 265 "-" "-" 
2.57.170.234 - - [09/Mar/2024:09:05:09 -0800] "HEAD /bak/www.zip HTTP/1.1" 301 178 "-" "-" 
64.64.108.1 - - [09/Mar/2024:09:05:09 -0800] "HEAD /bak/www.zip HTTP/1.1" 404 265 "-" "-" 
107.20.105.74 - - [09/Mar/2024:09:06:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [09/Mar/2024:09:06:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
45.86.202.130 - - [09/Mar/2024:09:07:23 -0800] "HEAD /backup/Archive.zip HTTP/1.1" 301 185 "-" "-" 
45.86.202.133 - - [09/Mar/2024:09:07:23 -0800] "HEAD /backup/Archive.zip HTTP/1.1" 404 265 "-" "-" 
94.46.167.73 - - [09/Mar/2024:09:09:25 -0800] "HEAD /backups/secrepo.com.sql HTTP/1.1" 301 190 "-" "-" 
94.46.167.73 - - [09/Mar/2024:09:09:26 -0800] "HEAD /backups/secrepo.com.sql HTTP/1.1" 404 265 "-" "-" 
107.20.105.74 - - [09/Mar/2024:09:16:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [09/Mar/2024:09:16:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
98.159.226.184 - - [09/Mar/2024:09:16:42 -0800] "HEAD /old/bak.tar HTTP/1.1" 301 178 "-" "-" 
98.159.226.184 - - [09/Mar/2024:09:16:42 -0800] "HEAD /old/bak.tar HTTP/1.1" 404 265 "-" "-" 
2.57.170.231 - - [09/Mar/2024:09:16:46 -0800] "HEAD /bak/backup.gz HTTP/1.1" 301 180 "-" "-" 
64.64.108.1 - - [09/Mar/2024:09:16:46 -0800] "HEAD /bak/backup.gz HTTP/1.1" 404 265 "-" "-" 
2.57.170.221 - - [09/Mar/2024:09:19:30 -0800] "HEAD /bak/bak.gz HTTP/1.1" 301 177 "-" "-" 
2.57.170.223 - - [09/Mar/2024:09:19:30 -0800] "HEAD /bak/bak.gz HTTP/1.1" 404 265 "-" "-" 
212.30.33.194 - - [09/Mar/2024:09:20:07 -0800] "HEAD /backups/secrepo.com.gz HTTP/1.1" 301 189 "-" "-" 
212.30.33.220 - - [09/Mar/2024:09:20:07 -0800] "HEAD /backups/secrepo.com.gz HTTP/1.1" 404 265 "-" "-" 
185.192.16.62 - - [09/Mar/2024:09:25:23 -0800] "HEAD /backups/public_html.rar HTTP/1.1" 301 190 "-" "-" 
185.192.16.47 - - [09/Mar/2024:09:25:24 -0800] "HEAD /backups/public_html.rar HTTP/1.1" 404 265 "-" "-" 
107.20.105.74 - - [09/Mar/2024:09:26:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [09/Mar/2024:09:26:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
185.221.132.221 - - [09/Mar/2024:09:29:00 -0800] "HEAD /.well-known.zip HTTP/1.1" 301 182 "-" "-" 
64.64.108.14 - - [09/Mar/2024:09:31:22 -0800] "HEAD /backups/backup.gz HTTP/1.1" 301 184 "-" "-" 
185.221.132.221 - - [09/Mar/2024:09:31:48 -0800] "HEAD /backup/.well-known.zip HTTP/1.1" 301 189 "-" "-" 
185.221.132.220 - - [09/Mar/2024:09:31:49 -0800] "HEAD /backup/.well-known.zip HTTP/1.1" 404 265 "-" "-" 
107.20.105.74 - - [09/Mar/2024:09:36:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [09/Mar/2024:09:36:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
2.57.170.235 - - [09/Mar/2024:09:36:41 -0800] "HEAD /directory.rar HTTP/1.1" 301 180 "-" "-" 
2.57.170.235 - - [09/Mar/2024:09:36:41 -0800] "HEAD /directory.rar HTTP/1.1" 404 265 "-" "-" 
94.156.68.167 - - [09/Mar/2024:09:37:29 -0800] "GET /wp-includes/js/jquery/jquery.min.js HTTP/1.1" 301 545 "-" "python-requests/2.27.1" 
94.156.68.167 - - [09/Mar/2024:09:37:46 -0800] "GET /wp-includes/js/jquery/jquery.min.js HTTP/1.1" 404 328 "-" "python-requests/2.27.1" 
94.156.68.167 - - [09/Mar/2024:09:38:02 -0800] "GET /inputs.php HTTP/1.1" 301 495 "-" "python-requests/2.27.1" 
